max_strategy, risky_strategy, uniform_strategy, safe_strategy, min_strategy
739, 993, 901, 1349, 1000
84, 535, 804, 1975, 1000
771, 1437, 1590, 979, 1000
499, 664, 350, 452, 1000
613, 157, 1499, 782, 1000
177, 434, 906, 709, 1000
129, 34, 1065, 1136, 1000
497, 969, 967, 393, 1000
2240, 1321, 1381, 1025, 1000
1928, 1335, 211, 883, 1000
1062, 150, 1103, 973, 1000
1410, 666, 1047, 904, 1000
941, 286, 551, 1005, 1000
142, 1738, 964, 1222, 1000
2812, 1135, 1224, 1083, 1000
387, 432, 1329, 917, 1000
274, 274, 585, 1445, 1000
1609, 2167, 1208, 1281, 1000
554, 1590, 2711, 1215, 1000
157, 67, 566, 1177, 1000
1361, 2049, 714, 610, 1000
222, 1992, 178, 1406, 1000
769, 1429, 1222, 721, 1000
209, 491, 364, 1252, 1000
856, 1253, 739, 893, 1000
143, 1808, 697, 1888, 1000
20, 123, 946, 1951, 1000
418, 792, 489, 863, 1000
1183, 238, 622, 844, 1000
858, 1772, 1054, 986, 1000
1620, 1631, 947, 1282, 1000
193, 768, 3454, 743, 1000
285, 559, 274, 1219, 1000
1022, 1460, 1359, 1386, 1000
384, 372, 856, 687, 1000
2061, 697, 123, 920, 1000
458, 1032, 1468, 952, 1000
1843, 400, 390, 644, 1000
459, 246, 265, 1452, 1000
641, 1464, 239, 519, 1000
790, 2121, 1062, 263, 1000
550, 581, 631, 1215, 1000
1717, 864, 700, 683, 1000
1980, 165, 624, 1411, 1000
23, 850, 1919, 1450, 1000
3051, 819, 1636, 1425, 1000
417, 395, 1451, 694, 1000
3094, 118, 1953, 1011, 1000
128, 692, 513, 1437, 1000
1834, 2031, 1101, 999, 1000
1241, 1503, 338, 590, 1000
1082, 419, 934, 532, 1000
890, 1338, 740, 1031, 1000
2062, 399, 949, 1949, 1000
129, 1477, 1807, 638, 1000
660, 1191, 184, 649, 1000
510, 470, 550, 1649, 1000
3178, 632, 856, 1476, 1000
624, 1902, 645, 1402, 1000
1009, 627, 591, 1245, 1000
1816, 394, 1141, 809, 1000
3652, 1436, 948, 743, 1000
2695, 898, 983, 858, 1000
1505, 779, 1428, 1246, 1000
96, 216, 679, 541, 1000
103, 1344, 723, 1285, 1000
991, 1027, 808, 632, 1000
704, 789, 85, 667, 1000
2547, 1240, 690, 722, 1000
250, 947, 1143, 863, 1000
281, 1602, 1665, 473, 1000
194, 1108, 1201, 973, 1000
1844, 1591, 699, 443, 1000
803, 1427, 1496, 1140, 1000
118, 1137, 439, 1040, 1000
5212, 518, 2830, 1105, 1000
264, 683, 912, 1463, 1000
278, 1021, 375, 884, 1000
370, 624, 1045, 401, 1000
294, 386, 1259, 675, 1000
1120, 758, 612, 1036, 1000
763, 684, 375, 1526, 1000
3571, 448, 363, 925, 1000
1585, 1519, 1317, 1149, 1000
239, 711, 410, 974, 1000
791, 537, 904, 1364, 1000
855, 737, 961, 951, 1000
455, 931, 158, 732, 1000
115, 92, 754, 1190, 1000
2244, 207, 941, 1883, 1000
912, 1958, 432, 1881, 1000
209, 119, 710, 2378, 1000
40, 1124, 328, 1107, 1000
427, 962, 776, 1228, 1000
1476, 1171, 465, 359, 1000
197, 548, 471, 536, 1000
1667, 696, 2145, 703, 1000
66, 2897, 1136, 953, 1000
1604, 2437, 1000, 400, 1000
295, 1205, 2224, 656, 1000
33, 605, 507, 815, 1000
1348, 1242, 1267, 913, 1000
969, 473, 1553, 375, 1000
686, 1546, 420, 914, 1000
678, 520, 1601, 951, 1000
3645, 4134, 1331, 1043, 1000
107, 1093, 717, 548, 1000
757, 459, 518, 1879, 1000
1990, 459, 1206, 1324, 1000
117, 998, 1078, 255, 1000
988, 1582, 2375, 1437, 1000
441, 230, 2516, 219, 1000
